,,,,,,,,,
,,,,Tribute To,Admin will receive an email for each tribute submission.,,,,
,,,,Email.,,,,,
,,,,Tribute title.,,,,,
,,,,Tribute Content,,,,,
,,,     Memorial Animation,"At first, the candle is unlit (no flame showing).
When a person clicks/taps the candle, the candle lights up with a flame animation.
As the candle lights, the black-and-white photo slowly gains colour.
After some time, the photo fades back to black and white again.

To stop fake engagement:

Each person can only light the candle once.
Or, even if they click many times, only their first lighting is counted.

Another idea is to make the photo permanently gain more colour as more people light candles overall:

0–100 candles lit → photo is almost fully black and white (about 95% monochrome)
500 candles → a little colour appears
2,000 candles → photo becomes half colour / half monochrome
5,000–10,000 candles → photo becomes fully colourful and vibrant

So the experience becomes:

A user lights a candle.
They see a personal animated moment where the portrait comes alive in colour.
At the same time, every new candle contributes to gradually restoring the portrait permanently for everyone.",,,,,
,,,     Social Sharing Section,User can Share memorial tribute via:,,6,1,,
,,,,Facebook,,,,,
,,,,Twitter/X,,,,,
,,,,Email,,,,,
,,,,Copy Share Link: Copy direct memorial URL.,,,,,
,,,     Generate Memorial PDF,Generate a custom designed personalize pdf for the police personal consisting all the details of the memorial page added on the webpage.,On the CMS side,16,0,"Developer Notes:
- as there is no mention of adding and storing the pdf from sanity side so we will manage the same from react side only by react-pdf-renderer library.","Closer to the time, I will work with you closely on the design. But it will need to look like a professionally produced book of condolence
as we will be able to populate as PDF, print and give a copy to the family member."
,,,,,,,,,
,,,,,,,,,
,,Research and Evidence,,,,,,,"Maybe have this designed differently to the UI of Stories and News buf keep functionality similar. But also add option for someone to upload
a PDF document as well as writing an article about the research paper. "
,,,Hero Banner,Large full-width banner image/background.,Content would be added from CMS,1,2,,
,,,,Main heading text.,,,,,
,,,,Supporting description text.,,,,,
,,,List of research,"Display list of all the research availabe with pagination, searching and sorting functionality. Each research card/grid would have following information.","Add/edit/delete research.
Reorder list item dynamically.
",4,3,,
,,,,Image/banner.,,,,,
,,,,Featured tag/badge.,,,,,
,,,,Research title.,,,,,
,,,,Author/institution name.,,,,,
,,,,Publish date.,,,,,
,,,,Short summary/excerpt.,,,,,
,,,,Key findings section.,,,,,
,,,,“Read Reseach Story” CTA link.,,,,,
,,,     Research Category Filter,Category-based filtering option would be provided to user to filter the research article. ,"Add/edit/delete categories.
Enable/disable categories.",4,2,,
,,,     Research Actions,Following actions can be taken per list item.,,,,,
,,,          Download PDF,"Button, clicking upon this user can download the research story in pdf format.",,,,,
,,,          Read Story,"Button, clicking upon this user can view the research story in pdf viewer.",,,,,
,,,,,,,,,
,,,,,,,,,
,,Recovery and Support,,,,,,,Would this be to be added manually or via an API?
,,,Hero Banner,Large full-width banner image/background.,Content would be added from CMS,1,2,,
,,,,Main heading text.,,,,,
,,,,Supporting description text.,,,,,
,,,Recommended Apps,"Display mental health/support-related apps in horizontal scroll or grid layout with pagination, searching and sorting functionality. Each card would consist following components","Add/edit/delete app.
Reorder list item dynamically.",4,4,,
,,,,App logo/icon.,,,,,
,,,,App name.,,,,,
,,,,Short description.,,,,,
,,,,Category/tag ,,,,,
,,,,Recommendation Badge,,,,,
,,,,Ratings Display (Star ratings. and Numeric Values),,,,,
,,,     CTA Actions,"Visit App, user would be redirected to the external link",,,,,
,,,Recommended Books Section,"Display recommended books in card format with pagination, searching and sorting functionality. Each card would consist following components","Add/edit/delete book.
Reorder list item dynamically.",4,4,,
,,,,Book cover image.,,,,,
,,,,Book title.,,,,,
,,,,Author name.,,,,,
,,,,Short description/summary.,,,,,
,,,,“Recommended by” section.,,,,,
,,,,Category/tag,,,,,
,,,     CTA Actions,"Buy/View Book (optional external link), user would be redirected to external link.",,1,1,,
,,,Recommended Podcasts Section,"Display podcast recommendations in compact card/list layout with pagination, searching and sorting functionality. Each card would consist following components","Add/edit/delete podcast.
Reorder list item dynamically.",4,4,,
,,,,Podcast logo/icon.,,,,,
,,,,Podcast title.,,,,,
,,,,Short description.,,,,,
,,,,Topic/category,,,,,
,,,     CTA Actions,"Listen Now, user would be redirected to the external link.",,,,,
,,,,,,,,,
,,,,,,,,,
,,CMS,"Ability to change the any module block colours, font type, size  and colours of individuals words where required.",,,40,30,"Developer Notes:
- yes we will be able to change the colors, type, size but changing those properties for each and every individual word or letter will not be possible we can change them for the entire sentence only.",
,,,,,,,,,
,,Role Based Access ,"Role based access for the admin panel, so that sub user can have access to publish / edit an article, news, stories, memorial.",,,0,8,"Dev Notes:
- role based access is possible but in free tier of sanity studio there will be less features available to use all of the features of role based access we will need paid plan of sanity cms studio.",
,,,,,,,,,
,,Footer,Footer of the every page would be static ,,,3,3,,
,,,,,,,,,
,,Timing Material,Design and page content may vary as per client request. ,,,,,Hours may vary based upon the changes suggested.,
,,,,,,,,,
,,Notifications,,,,,,,
,,,,,,,,,
